,Year,Latitude,Longitude,Date,TOTN,TOTP,TOTK,GWSO,TOTIRRIG,DVS,LAI,RD,WSO,NAVAIL,PAVAIL,KAVAIL,WC,SM,IRRAD,TMIN,TMAX,TEMP,VAP,RAIN,WIND,Days Elapsed,Rewards
3269,1999,50.0,5.0,04/13/1999,0.0,0.0,0.0,0.0,0.0,0.2914432,0.19877347,120.0,0.0,12.391126,17.90241,5.591251,55.21745,0.4601454,10070000.0,3.01,10.36,5.8,8.446943,1.118,4.88,101.0,0.0
3270,1999,50.0,5.0,04/14/1999,0.0,0.0,0.0,0.0,0.0,0.29890132,0.21261148,120.0,0.0,12.020599,17.903862,4.7591996,56.22236,0.46851966,13660000.0,1.55,7.5,4.78,7.2042127,0.696,5.16,102.0,0.0
3271,1999,50.0,5.0,04/15/1999,0.0,0.0,0.0,0.0,0.0,0.3051113,0.22676322,120.0,0.0,11.6446085,17.904083,3.9162173,56.38071,0.46983925,7640000.0,0.36,2.93,1.44,6.265346,1.346,2.98,103.0,0.0
3272,1999,50.0,5.0,04/16/1999,0.0,0.0,0.0,0.0,0.0,0.30700114,0.2315278,120.0,0.0,11.579759,17.964739,3.6955183,57.26591,0.47721592,11810000.0,-0.32,5.13,2.15,6.175001,0.33,2.05,104.0,0.0
3273,1999,50.0,5.0,04/17/1999,0.0,0.0,0.0,0.0,0.0,0.3098513,0.2384206,120.0,0.0,11.445895,18.011938,3.3367908,57.102596,0.475855,14570000.0,-1.1,6.83,2.88,6.242651,0.09,2.04,105.0,0.0
3274,1999,50.0,5.0,04/18/1999,0.0,0.0,0.0,0.0,0.0,0.31370723,0.2460119,120.0,0.0,11.290235,18.054855,2.934469,56.677265,0.47231054,16070000.0,-1.49,8.57,3.89,6.324695,0.038,1.34,106.0,0.0
3275,1999,50.0,5.0,04/19/1999,0.0,0.0,0.0,0.0,0.0,0.3189668,0.24986847,120.0,0.0,11.256599,18.121534,2.7761984,56.193443,0.4682787,14110000.0,-0.97,7.45,3.52,6.788325,0.168,1.36,107.0,0.0
3276,1999,50.0,5.0,04/20/1999,0.0,0.0,0.0,0.0,0.0,0.32377252,0.24986847,120.0,0.0,11.347599,18.212534,2.8671985,55.905754,0.4658813,14250000.0,0.14,7.55,4.58,6.4262652,0.097,0.71,108.0,0.0
3277,1999,50.0,5.0,04/21/1999,0.0,0.0,0.0,0.0,0.0,0.3300857,0.24986847,120.0,0.0,11.4386,18.303534,2.9581983,55.49011,0.46241757,14130000.0,0.11,11.38,6.94,8.578046,0.47,4.79,109.0,0.0
3278,1999,50.0,5.0,04/22/1999,0.0,0.0,0.0,0.0,0.0,0.3397431,0.24986847,120.0,0.0,11.529599,18.394535,3.0491984,55.67,0.46391666,17780000.0,8.19,13.8,10.67,11.158898,0.483,4.74,110.0,0.0
3279,1999,50.0,5.0,04/23/1999,0.0,0.0,0.0,0.0,0.0,0.35473084,0.25560743,120.0,0.0,11.441661,18.450373,2.7823226,55.683,0.464025,11760000.0,6.37,12.8,8.99,10.129189,0.255,4.16,111.0,0.0
3280,1999,50.0,5.0,04/24/1999,0.0,0.0,0.0,0.0,0.0,0.36747625,0.26774743,120.0,0.0,11.161407,18.468117,2.1308148,55.455,0.462125,16750000.0,5.51,14.47,9.52,10.09451,0.062,3.44,112.0,0.0
3281,1999,50.0,5.0,04/25/1999,0.0,0.0,0.0,0.0,0.0,0.3810972,0.2956473,120.0,0.0,10.41174,18.392626,0.54048103,55.262,0.46051666,8840000.0,6.02,9.3,7.45,9.847895,0.126,3.47,113.0,0.0
3282,1999,50.0,5.0,04/26/1999,0.0,0.0,0.0,0.0,0.0,0.39185327,0.3157655,120.0,0.0,9.905979,18.364962,0.091,55.29473,0.4607894,18580000.0,3.52,14.74,9.74,9.861455,0.01,1.94,114.0,0.0
